Number of points = 26

Temperature = 415.000 K

   p [atm]  z = pv/RT

    901.402	     1.442
    782.710	     1.356
    693.641	     1.294
    624.201	     1.248
    502.504	     1.172
    422.963	     1.127
    366.429	     1.099
    323.925	     1.079
    290.664	     1.065
    263.848	     1.055
    241.721	     1.047
    207.255	     1.036
    193.544	     1.032
    171.018	     1.026
    153.260	     1.021
    101.121	     1.011
     75.548	     1.007

